created_at,favorite_count,full_text,clean_text,aspect,sentiment
Mon Mar 31 00:13:41 +0000 2025,89,@yaniarsim Lebay berkaca ajalah kau apa sudah menjadi polisi yang amanah dgn tugasnya. Liat faktanya dimasyarakat bhw tingkat kepercayaan rakyat kpd polisi saat ini hampir punah.,@yaniarsim lebay berkaca ajalah kau apa sudah menjadi polisi yang amanah dgn tugasnya. liat faktanya dimasyarakat bhw tingkat kepercayaan rakyat kpd polisi saat ini hampir punah.,citra,negative
Mon Jan 30 16:45:59 +0000 2023,85,Gawat! Warga Diduga Pencuri Sawit Tewas Ditembak Polisi Massa Mengamuk Bakar PT AKG https://t.co/U4sR96oVGV,gawat! warga diduga pencuri sawit tewas ditembak polisi massa mengamuk bakar pt akg,etika,negative
Tue Jan 31 20:33:04 +0000 2023,85,@treasuremenfess aku gtw tapi kalo berhasil aku traktir km kalo ga berhasil paling diajak ke kantor polisi https://t.co/ilGUMp7oyt,@treasuremenfess aku gtw tapi kalo berhasil aku traktir km kalo ga berhasil paling diajak ke kantor polisi,lainnya,neutral
Tue Jan 31 12:19:41 +0000 2023,79,Rais Dkt. Samia leo akizindua Tume ya kuangalia jinsi ya kuboresha Taasisi za Haki Jinai Tanzania ameitaka Tume hiyo kwenda kuangalia mahusiano kati ya Taasisi za haki jinai na Raia na kusema Watanzania wengi wanaogopa majengo ya Polisi na Mahakama. #MilardAyoUPDATES https://t.co/90leQcWLJ4,rais dkt. samia leo akizindua tume ya kuangalia jinsi ya kuboresha taasisi za haki jinai tanzania ameitaka tume hiyo kwenda kuangalia mahusiano kati ya taasisi za haki jinai na raia na kusema watanzania wengi wanaogopa majengo ya polisi na mahakama. #milardayoupdates,lainnya,neutral
Tue Jan 31 14:30:43 +0000 2023,76,Masih ngak habis pikir ada orang goblok yg nemu anak bayi depan rumahnya langsung klaim itu bocah jadi anaknya bukan langsung bawa ke kantor polisi kalau itu anak bayi trus ada surat di dalamnya suruh lu jaga tu anak masih make sense lah dasar ikatan ngedablek,masih ngak habis pikir ada orang goblok yg nemu anak bayi depan rumahnya langsung klaim itu bocah jadi anaknya bukan langsung bawa ke kantor polisi kalau itu anak bayi trus ada surat di dalamnya suruh lu jaga tu anak masih make sense lah dasar ikatan ngedablek,lainnya,neutral
Sun Mar 30 17:28:46 +0000 2025,75,Malam Berdarah di Rokan Hilir: Penjaga Karaoke Mengamuk Tusuk Anggota Polisi hingga Tewas https://t.co/lQv6sT8JFR,malam berdarah di rokan hilir: penjaga karaoke mengamuk tusuk anggota polisi hingga tewas,lainnya,neutral
Sun Mar 30 18:06:07 +0000 2025,72,01:00 Info min tadi ada tawuran lumayan banyak Di jalan gayam/bung Tarjo dekat mandala krida Kronologi kurang tau ada 2 motor yg agak ambyar kondisinya Sudah ditangani polisi. Tadi mau video takut soalnya pada nyumet mercon juga posisi jualan di warung depan hotel Jadi https://t.co/I24sh6XvzC,: info min tadi ada tawuran lumayan banyak di jalan gayam/bung tarjo dekat mandala krida kronologi kurang tau ada motor yg agak ambyar kondisinya sudah ditangani polisi. tadi mau video takut soalnya pada nyumet mercon juga posisi jualan di warung depan hotel jadi,kinerja,positive
Mon Jan 30 17:03:07 +0000 2023,70,Warga Diduga Pencuri Sawit Tewas Ditembak Polisi Massa Mengamuk Bakar PT AKG https://t.co/yYbFeubhl1,warga diduga pencuri sawit tewas ditembak polisi massa mengamuk bakar pt akg,hukum,negative
Tue Jan 31 13:19:26 +0000 2023,67,Pensiunan Polisi yang Tabrak Mahasiswa UI Ternyata Mau Nyaleg Waketum Partai Gerindra Habiburokhman mengungkapkan pelaku tabrak lari mahasiswa UI AKBP (Purnawirawan) Eko Setia BW diduga hendak mendaftarkan diri sebagai caleg Gerindra. &lt; #MahasiswaUI #HasyaAtallah https://t.co/RPiyhC9GRB,pensiunan polisi yang tabrak mahasiswa ui ternyata mau nyaleg waketum partai gerindra habiburokhman mengungkapkan pelaku tabrak lari mahasiswa ui akbp (purnawirawan) eko setia bw diduga hendak mendaftarkan diri sebagai caleg gerindra. < #mahasiswaui #hasyaatallah,etika,negative
Mon Jan 30 21:32:28 +0000 2023,63,Polisi termasuk di antara sedikitnya 47 tewas dan 150 terluka dalam ledakan di sebuah masjid di dalam markas polisi Pakistan. https://t.co/L8m4aUOPyh,polisi termasuk di antara sedikitnya tewas dan terluka dalam ledakan di sebuah masjid di dalam markas polisi pakistan.,kinerja,neutral
Tue Jan 31 23:26:48 +0000 2023,60,Apresiasi untuk jajaran Polresta Bogor terus semangat berantas peredaran miras ilegal https://t.co/WKImKcEcET @PolresBogorKota @PemkotaBogor @DPR_RI @DPDRI #IndonesiaButuhUUMiras,apresiasi untuk jajaran polresta bogor terus semangat berantas peredaran miras ilegal @polresbogorkota @pemkotabogor @dpr_ri @dpdri #indonesiabutuhuumiras,hukum,positive
Sun Mar 30 22:45:26 +0000 2025,55,Kayaknya penghina kpd tokoh agama dari Sulawesi Tengah itu akan bermasalah serius. Sebaiknya polisi segera amankan (bahasa halus dari tangkap). Tak usah tunggu laporan. Ini serius!,kayaknya penghina kpd tokoh agama dari sulawesi tengah itu akan bermasalah serius. sebaiknya polisi segera amankan (bahasa halus dari tangkap). tak usah tunggu laporan. ini serius!,hukum,neutral
Tue Jan 31 12:43:45 +0000 2023,51, Mimi mwenyewe ukiniambia kuingia mahakamani kama si kwa kazi naogopa lile jengo la Mahakama naliogopa au polisi naiogopa hata kama nina jambo kwenda kulishtaki mimi nilikuwa naogopa huko nyuma niende polisi nikashtaki kwamba nimefikwa na hili mhh!! watanigeuzia - @SuluhuSamia https://t.co/XWQTcWlv9R,mimi mwenyewe ukiniambia kuingia mahakamani kama si kwa kazi naogopa lile jengo la mahakama naliogopa au polisi naiogopa hata kama nina jambo kwenda kulishtaki mimi nilikuwa naogopa huko nyuma niende polisi nikashtaki kwamba nimefikwa na hili mhh!! watanigeuzia - @suluhusamia,lainnya,neutral
Sun Mar 30 12:37:09 +0000 2025,47,@IndiehomeAjg WKWKWKW indo primitif mana bisa secepet ini bg isilop nye,@indiehomeajg wkwkwkw indo primitif mana bisa secepet ini bg isilop nye,kinerja,negative
Tue Jan 31 23:00:29 +0000 2023,40,@GIBOLofficial Melaporkan kawan sendiri ke polisi dgn tuduhan segala macam... Lalu muncul seolah pahlawan... Beginilah kira² yg namanya penjahat perang ,@gibolofficial melaporkan kawan sendiri ke polisi dgn tuduhan segala macam... lalu muncul seolah pahlawan... beginilah kira2 yg namanya penjahat perang,lainnya,negative
Mon Jan 30 23:52:08 +0000 2023,39,Kan ke jobscope Kementerian Kewangan (MOF) dengan Kementerian Ekonomi (MOE) berlainan Satu urus perbendaharaan satu lg pikir polisi utk tambah income negara &amp; rakyat Bekerja dlm satu pasukan kenapa nj terasa hati. Nk Bukan kerajaan PN-BN gaduh sana sini,kan ke jobscope kementerian kewangan (mof) dengan kementerian ekonomi (moe) berlainan satu urus perbendaharaan satu lg pikir polisi utk tambah income negara & rakyat bekerja dlm satu pasukan kenapa nj terasa hati. nk bukan kerajaan pn-bn gaduh sana sini,citra,neutral
Tue Jan 31 15:34:24 +0000 2023,35,@Muhammad_Saewad Coba bakar foto Yaqut/Yahya atau Mbah hasyim Asyari Habib Luthfi... Auto di demo dicekal sampe dilapor polisi ente....,@muhammad_saewad coba bakar foto yaqut/yahya atau mbah hasyim asyari habib luthfi... auto di demo dicekal sampe dilapor polisi ente....,hukum,neutral
Sun Mar 30 22:31:52 +0000 2025,33,Malam Berdarah di Rokan Hilir: Penjaga Karaoke Mengamuk Tusuk Anggota Polisi hingga Tewas https://t.co/NAIxl08LCU,malam berdarah di rokan hilir: penjaga karaoke mengamuk tusuk anggota polisi hingga tewas,lainnya,neutral
Sun Mar 30 21:41:29 +0000 2025,30,@txtfromIR PPI Denmark kita laporin ke interpol dan polisi denmark gimana?,@txtfromir ppi denmark kita laporin ke interpol dan polisi denmark gimana?,lainnya,neutral
Mon Jan 30 19:23:35 +0000 2023,29,@detikcom Mana itu kapolres cianjur kok kmrn ngotot bilang bukan istri. Solid emang kepolisian ini solid nutupin kasus polisi klo bermasalah. Ga kelar2 berita ttg kepolisian yg makin hancur lebur.,@detikcom mana itu kapolres cianjur kok kmrn ngotot bilang bukan istri. solid emang kepolisian ini solid nutupin kasus polisi klo bermasalah. ga kelar berita ttg kepolisian yg makin hancur lebur.,citra,negative
Mon Mar 31 00:36:23 +0000 2025,29,@romoatheist @DokterTifa @deddysitorus @UGMYogyakarta Kok goblok ya kamu org dituduh gk asli itu kalo merasa dirugikan kan tinggal datang jg kasih pembanding kalo dia punya ijazah aslinya tunjukin motor kamu dituduh curian tinggal km pulang ambil stnk dan bpkb tunjukin ke polisi itu yg bener,@romoatheist @doktertifa @deddysitorus @ugmyogyakarta kok goblok ya kamu org dituduh gk asli itu kalo merasa dirugikan kan tinggal datang jg kasih pembanding kalo dia punya ijazah aslinya tunjukin motor kamu dituduh curian tinggal km pulang ambil stnk dan bpkb tunjukin ke polisi itu yg bener,kinerja,neutral
Sun Mar 30 17:12:35 +0000 2025,29,@zilverentinte secara ga langsung lu mengakui kan kalo lu komplotan instansi yang doxxing sverre kan karena ngerasa terganggu makanya sampe ngehack segala? aku dukung deh polisi denmark dan interpol ngeburu kalian https://t.co/koWJ5uoToi,@zilverentinte secara ga langsung lu mengakui kan kalo lu komplotan instansi yang doxxing sverre kan karena ngerasa terganggu makanya sampe ngehack segala? aku dukung deh polisi denmark dan interpol ngeburu kalian,citra,positive
Sun Mar 30 17:01:41 +0000 2025,29,Atas nama keluarga besar Polri dan Bhayangkari Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo https://t.co/zlHLNr1wap. mengucapkan Selamat Hari Raya Idul Fitri 1446 H. https://t.co/gs5NHyGnqo,atas nama keluarga besar polri dan bhayangkari kapolri jenderal polisi drs. listyo sigit prabowo mengucapkan selamat hari raya idul fitri h.,citra,positive
Tue Jan 31 15:20:21 +0000 2023,27,ndak saya ndak apa-apa. saya dukung polisi untuk menegakkan hukum. tolong tegakkan hukum bagi 135 nyawa yang direnggut kemarin. tolong.,ndak saya ndak apa-apa. saya dukung polisi untuk menegakkan hukum. tolong tegakkan hukum bagi nyawa yang direnggut kemarin. tolong.,hukum,neutral
Tue Jan 31 13:59:37 +0000 2023,26,@luna_w053 gak simpen video nya tapi konten dream paling lucu pas mereka main mafia games yang di lab gtu. jaemin gak mau ngaku dia polisi pdhl dah tau mafia nya siapa LUCU BGTBGT,@luna_w gak simpen video nya tapi konten dream paling lucu pas mereka main mafia games yang di lab gtu. jaemin gak mau ngaku dia polisi pdhl dah tau mafia nya siapa lucu bgtbgt,lainnya,neutral
Tue Jan 31 22:28:03 +0000 2023,25,Anggota Komisi III Bidang Hukum DPR Arsul Sani mengingatkan bahwa profesionalisme polisi dipertaruhkan dalam dua kasus kecelakaan tersebut. https://t.co/wm5Ty0l4id,anggota komisi iii bidang hukum dpr arsul sani mengingatkan bahwa profesionalisme polisi dipertaruhkan dalam dua kasus kecelakaan tersebut.,kinerja,neutral
Tue Jan 31 12:16:30 +0000 2023,24,Kompol D punya mobil mewah Audi A6. Sementara itu dulu mantan Kapolri Kunarto ketika menjadi Kapolsek mengembalikan hadiah mobil kepada kepolisian. Hoegeng dan Kunarto merupakan teladan polisi yang hidupnya sederhana. https://t.co/PRcASQlSK9,kompol d punya mobil mewah audi a. sementara itu dulu mantan kapolri kunarto ketika menjadi kapolsek mengembalikan hadiah mobil kepada kepolisian. hoegeng dan kunarto merupakan teladan polisi yang hidupnya sederhana.,citra,negative
Tue Jan 31 12:50:50 +0000 2023,24,Mheshimiwa Rais Samia Suluhu amezindua tume ya kuangalia jinsi ya kuboresha taasisi za haki jinai ambayo itapitia Jeshi la Polisi Magereza TAKUKURU DCEA Ofisi ya Taifa ya Mashitaka na kutoa mapendekezo ya maboresho yatakayoimarisha utoaji haki kwa wananchi. #MamaYukoKazini https://t.co/LKfHR5twf8,mheshimiwa rais samia suluhu amezindua tume ya kuangalia jinsi ya kuboresha taasisi za haki jinai ambayo itapitia jeshi la polisi magereza takukuru dcea ofisi ya taifa ya mashitaka na kutoa mapendekezo ya maboresho yatakayoimarisha utoaji haki kwa wananchi. #mamayukokazini,lainnya,neutral
Tue Jan 31 22:09:18 +0000 2023,24,Ledakan bunuh diri di Masjid di dalam markas polisi Pakistan disebut sebagai balas dendam. Korban tewas pun disebut telah mencapai 100 orang. https://t.co/GD4AtTT6CF,ledakan bunuh diri di masjid di dalam markas polisi pakistan disebut sebagai balas dendam. korban tewas pun disebut telah mencapai orang.,lainnya,neutral
Sun Mar 30 21:14:27 +0000 2025,24,@mhuseinali Tbh most of them aren't. Kesamaan dari mereka yg menonjol adalah bapak mereka juga tni/polisi dan mereka ga tinggal di rumah sendiri pasti stay di rumah dinas. Biasa kan kalau kaya dokter gt most of the time anaknya suruh ngikut jejak. Nah ini sama kaya gitu,@mhuseinali tbh most of them aren't. kesamaan dari mereka yg menonjol adalah bapak mereka juga tni/polisi dan mereka ga tinggal di rumah sendiri pasti stay di rumah dinas. biasa kan kalau kaya dokter gt most of the time anaknya suruh ngikut jejak. nah ini sama kaya gitu,etika,neutral
Mon Jan 30 23:57:32 +0000 2023,23,@pengarang_sajak Polisi lagi piye pak @ListyoSigitP gak bisa revolusi tuh polisi2 ganti robo cop aja drpd duit habis disedotin mrk mending beli robot,@pengarang_sajak polisi lagi piye pak @listyosigitp gak bisa revolusi tuh polisi ganti robo cop aja drpd duit habis disedotin mrk mending beli robot,citra,negative
Mon Mar 31 15:33:49 +0000 2025,23,Tadi ada sodara gua yang isilop kaga gua kasi salaman #sikap,tadi ada sodara gua yang isilop kaga gua kasi salaman #sikap,lainnya,neutral
Tue Jan 31 13:21:02 +0000 2023,23,di hari itu hadir RT gua RT si pemilik bangunan babinsa satpol polisi LMK FKDM pokoknya perangkat masyarakat seperti du surat undangan itu. saat itu ibu lurah kebon kacang sebagai pemimpin mediasi. pelapor dan terlapor utarakan pendapat masing masing.,di hari itu hadir rt gua rt si pemilik bangunan babinsa satpol polisi lmk fkdm pokoknya perangkat masyarakat seperti du surat undangan itu. saat itu ibu lurah kebon kacang sebagai pemimpin mediasi. pelapor dan terlapor utarakan pendapat masing masing.,etika,neutral
Sun Mar 30 18:05:33 +0000 2025,23,Kayanya udh dapet balesan dari polisi Denmark + interpol. Makanya langsung ciut. Logika sm pengetahuan umumnya tiarap banget.. https://t.co/RnPKLmPzwY,kayanya udh dapet balesan dari polisi denmark + interpol. makanya langsung ciut. logika sm pengetahuan umumnya tiarap banget..,kinerja,positive
Tue Jan 31 13:49:09 +0000 2023,22,@mazzini_gsp Kalau lapor polisi bisa-bisa kang parkirnya jadi tersangka.,@mazzini_gsp kalau lapor polisi bisa-bisa kang parkirnya jadi tersangka.,citra,negative
Tue Jan 31 13:13:02 +0000 2023,21,@omarmoyo963 Masa Polisi tidak bertindak lihat begini? Cc: Jenderal (Pol) @ListyoSigitP @DivHumas_Polri,@omarmoyo masa polisi tidak bertindak lihat begini? cc: jenderal (pol) @listyosigitp @divhumas_polri,etika,negative
Tue Jan 31 14:26:05 +0000 2023,21,@Dennysiregar7 Masih banyak polisi baik di pelem kau cok,@dennysiregar masih banyak polisi baik di pelem kau cok,lainnya,neutral
Sun Mar 30 22:35:34 +0000 2025,21,Polisi zero tolerance kesalahan. Ada banyak kasus kekerasan &amp; tipu daya yg melibatkan polisi. Bila institusi Polri ingin memperbaiki keadaan ini. Lakukan moratorium tindakan. Pecat semua polisi yg melakukan kekerasan dan penipuan. Dari sekarang! Kami butuh polisi baik,polisi zero tolerance kesalahan. ada banyak kasus kekerasan & tipu daya yg melibatkan polisi. bila institusi polri ingin memperbaiki keadaan ini. lakukan moratorium tindakan. pecat semua polisi yg melakukan kekerasan dan penipuan. dari sekarang! kami butuh polisi baik,citra,negative
Mon Jan 30 23:55:02 +0000 2023,20,@detikcom Polisi klo gak salah skrg gaji masuk ATM kartu ATM dipegang istri tua klo ada oknum berani beristri 2 berarti ybs hrs kerja keras cari seseran diluar mungkin bisa dgn cara ngeri2 sedap tuh nyatanya bisa beli mobil mewah Audi unt istri mudo hadehhh..angel angel,@detikcom polisi klo gak salah skrg gaji masuk atm kartu atm dipegang istri tua klo ada oknum berani beristri berarti ybs hrs kerja keras cari seseran diluar mungkin bisa dgn cara ngeri sedap tuh nyatanya bisa beli mobil mewah audi unt istri mudo hadehhh..angel angel,etika,negative
Tue Jan 31 12:12:19 +0000 2023,20,160K korban nyawa akibat corona dan sulitnya rakyat dapat keadilan cuma jadi bahan gurauan antar menteri. Ini salah satu contoh bagaimana penangkapan tanpa surat dengan tuduhan sbg pencuri dan dipulangkan dalam kondisi tewas https://t.co/mbV9Qj3eZG https://t.co/IEGowZUGhV,k korban nyawa akibat corona dan sulitnya rakyat dapat keadilan cuma jadi bahan gurauan antar menteri. ini salah satu contoh bagaimana penangkapan tanpa surat dengan tuduhan sbg pencuri dan dipulangkan dalam kondisi tewas,citra,negative
Sun Mar 30 22:49:34 +0000 2025,19,Dibongkar Tengku Zanzabella Nathalie Holscher Pernah Main Serong dengan Polisi https://t.co/hYMBkjGaKz,dibongkar tengku zanzabella nathalie holscher pernah main serong dengan polisi,etika,negative
Tue Jan 31 13:16:48 +0000 2023,18,@Heraloebss Pak @ListyoSigitP sebenarnya polisi itu penegak hukum atau apa? itu pemakai plat katanya RFP ? Main pukul? Benerkah?jika bener saya usul pak @jokowi ganti nama POLRI jadi apa gitu supaya rakyat tidak kecewa dan ind9nesia tidak malu di mata international.,@heraloebss pak @listyosigitp sebenarnya polisi itu penegak hukum atau apa? itu pemakai plat katanya rfp ? main pukul? benerkah?jika bener saya usul pak @jokowi ganti nama polri jadi apa gitu supaya rakyat tidak kecewa dan indnesia tidak malu di mata international.,citra,negative
Mon Mar 31 00:00:46 +0000 2025,18,@Boediantar4 Pantesan banyak polisi pake montor bodong... pencuri kawan polisi rupanya.,@boediantar pantesan banyak polisi pake montor bodong... pencuri kawan polisi rupanya.,citra,negative
Tue Jan 31 14:16:24 +0000 2023,17,@tanyakanrl Sialan kenapa kisah cinta orang pada mulus banget si sedangkan punyaku kaya dijalan berlumpur gronjalan tanjakan turunan tikungan sekalinya jalan beraspal jalan modelan jalan di Pogung yg kek labirin terus tiap 15 meter ada polisi tidur,@tanyakanrl sialan kenapa kisah cinta orang pada mulus banget si sedangkan punyaku kaya dijalan berlumpur gronjalan tanjakan turunan tikungan sekalinya jalan beraspal jalan modelan jalan di pogung yg kek labirin terus tiap meter ada polisi tidur,lainnya,neutral
Tue Jan 31 14:52:41 +0000 2023,17,Polisi menangkap terduga pelaku pembunuhan dan pemerkosaan wanita yang tewas telanjang di Sungai Cipelang Kota Sukabumi. Pelaku ditangkap empat hari setelah mayat wanita itu ditemukan. https://t.co/2mrnBa6kVD,polisi menangkap terduga pelaku pembunuhan dan pemerkosaan wanita yang tewas telanjang di sungai cipelang kota sukabumi. pelaku ditangkap empat hari setelah mayat wanita itu ditemukan.,hukum,positive
Mon Mar 31 00:36:31 +0000 2025,17,kalian semua dimaafkan kecuali tni polisi dan pemerintah.,kalian semua dimaafkan kecuali tni polisi dan pemerintah.,citra,negative
Mon Jan 30 19:12:09 +0000 2023,16,@kegblgnunfaedh Gak ada. Soalnya selama idup klo ngelakuin sesuatu bukan takut dosa. MALING (takut ditangkap polisi dan ngabisin sisa waktu di penjara) BUNUH ORANG (ngebayanginnya aja ngeri) NGENTOT (takut hamidun) ALKOHOL (udah minum sih) TATTOAN (dah jg),@kegblgnunfaedh gak ada. soalnya selama idup klo ngelakuin sesuatu bukan takut dosa. maling (takut ditangkap polisi dan ngabisin sisa waktu di penjara) bunuh orang (ngebayanginnya aja ngeri) ngentot (takut hamidun) alkohol (udah minum sih) tattoan (dah jg),hukum,neutral
Tue Jan 31 17:44:10 +0000 2023,16,Ehhh kok beda Pak Kapolri dibikin mumet lg dgn kelakuan anak buahnya Setingkat kompol bsa punya Audi eh platnya palsu Jgn2 msh bnyak polisi diluar sana yg punya istri simpanan/siri Bagaimana ini pak pol @DivHumas_Polri https://t.co/6VSv1xqlDn,ehhh kok beda pak kapolri dibikin mumet lg dgn kelakuan anak buahnya setingkat kompol bsa punya audi eh platnya palsu jgn msh bnyak polisi diluar sana yg punya istri simpanan/siri bagaimana ini pak pol @divhumas_polri,citra,negative
Sun Mar 30 18:09:45 +0000 2025,16,@merapi_uncover Petasan itu aturannya nasional gak cuma daerah laporkan polisi saja biar dijerat dengan uu terorisme.,@merapi_uncover petasan itu aturannya nasional gak cuma daerah laporkan polisi saja biar dijerat dengan uu terorisme.,hukum,neutral
Tue Jan 31 15:09:32 +0000 2023,15,@KompasTV Eleazer minta dibebaskan karena menembak josua disuruh dan diancam sambo sambo minta dibebaskan karena ditipu pc selingkuh tapi bilang diperkosa pc minta dibaskan karena tidak menyuruh membunuh cumacurhat ke sang suami jadi yang salah siapa polisi jaksa atau hakimnya? Lawak x,@kompastv eleazer minta dibebaskan karena menembak josua disuruh dan diancam sambo sambo minta dibebaskan karena ditipu pc selingkuh tapi bilang diperkosa pc minta dibaskan karena tidak menyuruh membunuh cumacurhat ke sang suami jadi yang salah siapa polisi jaksa atau hakimnya? lawak x,etika,negative
Sun Mar 30 22:32:37 +0000 2025,15,@tvOneNews Kami aja sbg rakyat jelata kl hilang tas/dompet beserta isinya kl lapor polisi hanya diberikan secarik kertas surat keterangan dmn itu berguna tuk urus kartu/dok yg hilang dibank/capil dsb. Adapun hakikat hilangnya brg ga pernah di usut dan cari pelakunya. Biasa aja keles.,@tvonenews kami aja sbg rakyat jelata kl hilang tas/dompet beserta isinya kl lapor polisi hanya diberikan secarik kertas surat keterangan dmn itu berguna tuk urus kartu/dok yg hilang dibank/capil dsb. adapun hakikat hilangnya brg ga pernah di usut dan cari pelakunya. biasa aja keles.,kinerja,negative
